2024-11-26 20:37:01,606 - Packet - Src: 192.168.8.130, Dst: 255.255.255.255, Protocol: 17, Size: 78 bytes
2024-11-26 20:37:04,835 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 953 bytes
2024-11-26 20:37:04,836 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 789 bytes
2024-11-26 20:37:04,908 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:04,909 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:05,013 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 475 bytes
2024-11-26 20:37:05,069 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:06,004 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 1403 bytes
2024-11-26 20:37:06,078 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:06,194 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 711 bytes
2024-11-26 20:37:06,235 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:09,132 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 993 bytes
2024-11-26 20:37:09,133 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 1536 bytes
2024-11-26 20:37:09,134 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 66 bytes
2024-11-26 20:37:09,207 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:09,208 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 66 bytes
2024-11-26 20:37:09,209 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:09,210 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:09,211 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:09,213 - Packet - Src: 192.168.8.194, Dst: 162.247.243.29, Protocol: 6, Size: 2002 bytes
2024-11-26 20:37:09,277 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
2024-11-26 20:37:09,278 - Packet - Src: 162.247.243.29, Dst: 192.168.8.194, Protocol: 6, Size: 54 bytes
